,f1_train,f1_test,accuracy_train,accuracy_test,sigma,num_epoch,num_sets,kmax,mf,num_input_units,output_units
0,0.509611093919557,0.5162111320747345,0.5343500000000001,0.5386,0.001,15,3,5,tri,10,2
1,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,15,3,5,gaussian,10,2
2,0.5285179541219562,0.543428385720376,0.47075000000000006,0.49000000000000005,0.001,15,3,5,semicircle,10,2
3,0.3498487522167769,0.3470089943756574,0.4913,0.4875999999999999,0.001,15,3,10,tri,10,2
4,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,15,3,10,gaussian,10,2
5,0.31669447246798316,0.32879888778125604,0.4962,0.4984,0.001,15,3,10,semicircle,10,2
6,0.4152935731669786,0.41557041460336575,0.5149,0.5166000000000001,0.001,15,3,25,tri,10,2
7,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,15,3,25,gaussian,10,2
8,0.32637873195467415,0.3463588341497303,0.4882999999999999,0.506,0.001,15,3,25,semicircle,10,2
9,0.4711545086809081,0.4736940877138208,0.5319499999999999,0.536,0.001,15,3,50,tri,10,2
10,0.0,0.0007984031936127744,0.5,0.5002,0.001,15,3,50,gaussian,10,2
11,0.32637873195467415,0.3463588341497303,0.4882999999999999,0.506,0.001,15,3,50,semicircle,10,2
12,0.5146959069296108,0.5099816381234465,0.5496000000000001,0.5498000000000001,0.001,15,5,5,tri,10,2
13,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,15,5,5,gaussian,10,2
14,0.5243615019539642,0.5248850941157607,0.5117,0.5114,0.001,15,5,5,semicircle,10,2
15,0.5332693809293021,0.5332424383348073,0.5494,0.5479999999999999,0.001,15,5,10,tri,10,2
16,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,15,5,10,gaussian,10,2
17,0.3594986598414366,0.34523457450996153,0.50815,0.49820000000000003,0.001,15,5,10,semicircle,10,2
18,0.47780913594500446,0.48771592618278853,0.5265,0.527,0.001,15,5,25,tri,10,2
19,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,15,5,25,gaussian,10,2
20,0.18092172942821344,0.18056892772273242,0.50025,0.4984,0.001,15,5,25,semicircle,10,2
21,0.3997947652414259,0.4103024328768979,0.5334000000000001,0.5368,0.001,15,5,50,tri,10,2
22,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,15,5,50,gaussian,10,2
23,0.16953455233301423,0.16964237741057814,0.49975,0.49779999999999996,0.001,15,5,50,semicircle,10,2
24,0.5123125525730391,0.5099674955044151,0.5581,0.5588,0.001,15,7,5,tri,10,2
25,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,15,7,5,gaussian,10,2
26,0.5050956002245556,0.4971589186031748,0.4866499999999999,0.4744,0.001,15,7,5,semicircle,10,2
27,0.5257834166254947,0.5206211370046769,0.5571999999999999,0.5542,0.001,15,7,10,tri,10,2
28,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,15,7,10,gaussian,10,2
29,0.3636250955768152,0.37087088990699907,0.4897,0.4908,0.001,15,7,10,semicircle,10,2
30,0.47455772530740886,0.47616903311140996,0.5382,0.5378000000000001,0.001,15,7,25,tri,10,2
31,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,15,7,25,gaussian,10,2
32,0.25945614444700854,0.2581137548809668,0.50255,0.4998,0.001,15,7,25,semicircle,10,2
33,0.4443852624925322,0.42945779195320133,0.5442500000000001,0.5314000000000001,0.001,15,7,50,tri,10,2
34,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,15,7,50,gaussian,10,2
35,0.22843820692517186,0.23138951484227227,0.49824999999999997,0.4974,0.001,15,7,50,semicircle,10,2
36,0.509611093919557,0.5162111320747345,0.5343500000000001,0.5386,0.001,25,3,5,tri,10,2
37,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,25,3,5,gaussian,10,2
38,0.5285179541219562,0.543428385720376,0.47075000000000006,0.49000000000000005,0.001,25,3,5,semicircle,10,2
39,0.3498487522167769,0.3470089943756574,0.4913,0.4875999999999999,0.001,25,3,10,tri,10,2
40,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,25,3,10,gaussian,10,2
41,0.31669447246798316,0.32879888778125604,0.4962,0.4984,0.001,25,3,10,semicircle,10,2
42,0.4185579910124629,0.422171709582836,0.5133,0.5182,0.001,25,3,25,tri,10,2
43,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,25,3,25,gaussian,10,2
44,0.32637873195467415,0.3463588341497303,0.4882999999999999,0.506,0.001,25,3,25,semicircle,10,2
45,0.4736485066326567,0.4781542043215047,0.52945,0.5362,0.001,25,3,50,tri,10,2
46,0.0,0.0007984031936127744,0.5,0.5002,0.001,25,3,50,gaussian,10,2
47,0.32637873195467415,0.3463588341497303,0.4882999999999999,0.506,0.001,25,3,50,semicircle,10,2
48,0.5146959069296108,0.5099816381234465,0.5496000000000001,0.5498000000000001,0.001,25,5,5,tri,10,2
49,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,25,5,5,gaussian,10,2
50,0.5243615019539642,0.5248850941157607,0.5117,0.5114,0.001,25,5,5,semicircle,10,2
51,0.5332693809293021,0.5332424383348073,0.5494,0.5479999999999999,0.001,25,5,10,tri,10,2
52,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,25,5,10,gaussian,10,2
53,0.3594986598414366,0.34523457450996153,0.50815,0.49820000000000003,0.001,25,5,10,semicircle,10,2
54,0.47780913594500446,0.48771592618278853,0.5265,0.527,0.001,25,5,25,tri,10,2
55,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,25,5,25,gaussian,10,2
56,0.18092172942821344,0.18056892772273242,0.50025,0.4984,0.001,25,5,25,semicircle,10,2
57,0.4041144304085674,0.41407663963431596,0.53725,0.5396,0.001,25,5,50,tri,10,2
58,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,25,5,50,gaussian,10,2
59,0.16953455233301423,0.16964237741057814,0.49975,0.49779999999999996,0.001,25,5,50,semicircle,10,2
60,0.5123125525730391,0.5099674955044151,0.5581,0.5588,0.001,25,7,5,tri,10,2
61,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,25,7,5,gaussian,10,2
62,0.5068298022882731,0.49845091660307805,0.4869,0.47400000000000003,0.001,25,7,5,semicircle,10,2
63,0.5257834166254947,0.5206211370046769,0.5571999999999999,0.5542,0.001,25,7,10,tri,10,2
64,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,25,7,10,gaussian,10,2
65,0.3636250955768152,0.37087088990699907,0.4897,0.4908,0.001,25,7,10,semicircle,10,2
66,0.47455772530740886,0.47616903311140996,0.5382,0.5378000000000001,0.001,25,7,25,tri,10,2
67,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,25,7,25,gaussian,10,2
68,0.25945614444700854,0.2581137548809668,0.50255,0.4998,0.001,25,7,25,semicircle,10,2
69,0.44999603007511046,0.43157468901103657,0.54495,0.5268,0.001,25,7,50,tri,10,2
70,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,25,7,50,gaussian,10,2
71,0.22843820692517186,0.23138951484227227,0.49824999999999997,0.4974,0.001,25,7,50,semicircle,10,2
72,0.509611093919557,0.5162111320747345,0.5343500000000001,0.5386,0.001,50,3,5,tri,10,2
73,0.0,0.0007984031936127744,0.4997000000000001,0.5002,0.001,50,3,5,gaussian,10,2
74,0.5285179541219562,0.543428385720376,0.47075000000000006,0.49000000000000005,0.001,50,3,5,semicircle,10,2
75,0.3498487522167769,0.3470089943756574,0.4913,0.4875999999999999,0.001,50,3,10,tri,10,2
76,0.04885495433324575,0.042896301598935406,0.50595,0.5032,0.001,50,3,10,gaussian,10,2
77,0.3818114893722605,0.3824113967527568,0.49595,0.49700000000000005,0.001,50,3,10,semicircle,10,2
78,0.42788740669111797,0.44159191677535475,0.51915,0.5312,0.001,50,3,25,tri,10,2
79,0.03349408154318282,0.028556410311050502,0.5050000000000001,0.5034,0.001,50,3,25,gaussian,10,2
80,0.3685378640435894,0.3785509540091859,0.4786,0.48919999999999997,0.001,50,3,25,semicircle,10,2
81,0.48083570754318206,0.4860944166045794,0.5298,0.538,0.001,50,3,50,tri,10,2
82,0.0,0.0007984031936127744,0.5,0.5002,0.001,50,3,50,gaussian,10,2
83,0.3685378640435894,0.3785509540091859,0.4786,0.48919999999999997,0.001,50,3,50,semicircle,10,2
84,0.5146959069296108,0.5099816381234465,0.5496000000000001,0.5498000000000001,0.001,50,5,5,tri,10,2
85,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,50,5,5,gaussian,10,2
86,0.5243615019539642,0.5248850941157607,0.5117,0.5114,0.001,50,5,5,semicircle,10,2
87,0.5332693809293021,0.5332424383348073,0.5494,0.5479999999999999,0.001,50,5,10,tri,10,2
88,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,50,5,10,gaussian,10,2
89,0.3594986598414366,0.34523457450996153,0.50815,0.49820000000000003,0.001,50,5,10,semicircle,10,2
90,0.48750538281689704,0.4884949375914224,0.5343,0.531,0.001,50,5,25,tri,10,2
91,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,5,25,gaussian,10,2
92,0.18092172942821344,0.18056892772273242,0.50025,0.4984,0.001,50,5,25,semicircle,10,2
93,0.430838224407987,0.4469872013080433,0.54335,0.5522,0.001,50,5,50,tri,10,2
94,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,5,50,gaussian,10,2
95,0.16953455233301423,0.16964237741057814,0.49975,0.49779999999999996,0.001,50,5,50,semicircle,10,2
96,0.5123125525730391,0.5099674955044151,0.5581,0.5588,0.001,50,7,5,tri,10,2
97,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.001,50,7,5,gaussian,10,2
98,0.5067301262354449,0.49845091660307805,0.48679999999999995,0.47400000000000003,0.001,50,7,5,semicircle,10,2
99,0.5257834166254947,0.5206211370046769,0.5571999999999999,0.5542,0.001,50,7,10,tri,10,2
100,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.001,50,7,10,gaussian,10,2
101,0.3636250955768152,0.37087088990699907,0.4897,0.4908,0.001,50,7,10,semicircle,10,2
102,0.47455772530740886,0.47616903311140996,0.5382,0.5378000000000001,0.001,50,7,25,tri,10,2
103,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.001,50,7,25,gaussian,10,2
104,0.25945614444700854,0.2581137548809668,0.50255,0.4998,0.001,50,7,25,semicircle,10,2
105,0.44999603007511046,0.43157468901103657,0.54495,0.5268,0.001,50,7,50,tri,10,2
106,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.001,50,7,50,gaussian,10,2
107,0.22843820692517186,0.23138951484227227,0.49824999999999997,0.4974,0.001,50,7,50,semicircle,10,2
108,0.18686054381137746,0.18177587165285808,0.5176999999999999,0.515,0.01,15,3,5,tri,10,2
109,0.0,0.0,0.5,0.5,0.01,15,3,5,gaussian,10,2
110,0.3273745931175242,0.32823531682453233,0.4845,0.48999999999999994,0.01,15,3,5,semicircle,10,2
111,0.058459222921666235,0.05456591967660769,0.49670000000000003,0.4981999999999999,0.01,15,3,10,tri,10,2
112,0.02489851150202977,0.019117647058823527,0.5029,0.5016,0.01,15,3,10,gaussian,10,2
113,0.3238964624024352,0.3282290076818657,0.4992,0.5052000000000001,0.01,15,3,10,semicircle,10,2
114,0.32299361467337623,0.3375199910061644,0.5319499999999999,0.5362,0.01,15,3,25,tri,10,2
115,0.03349408154318282,0.027758007117437727,0.50505,0.5032,0.01,15,3,25,gaussian,10,2
116,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,15,3,25,semicircle,10,2
117,0.31546905461373054,0.3121962722477915,0.5317000000000001,0.5306,0.01,15,3,50,tri,10,2
118,0.0,0.0,0.5,0.5,0.01,15,3,50,gaussian,10,2
119,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,15,3,50,semicircle,10,2
120,0.2595745866081091,0.2554843294216612,0.5235000000000001,0.5244,0.01,15,5,5,tri,10,2
121,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,15,5,5,gaussian,10,2
122,0.5261764446942816,0.5325009238983085,0.50825,0.515,0.01,15,5,5,semicircle,10,2
123,0.40756182398035545,0.4000090372762459,0.5474500000000001,0.542,0.01,15,5,10,tri,10,2
124,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,15,5,10,gaussian,10,2
125,0.2621913741131404,0.26422218556716304,0.50405,0.5022,0.01,15,5,10,semicircle,10,2
126,0.5145473927555815,0.506232544870738,0.5666499999999999,0.5582,0.01,15,5,25,tri,10,2
127,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.01,15,5,25,gaussian,10,2
128,0.23775016025601065,0.2470697853849549,0.52205,0.5296000000000001,0.01,15,5,25,semicircle,10,2
129,0.4247626558330636,0.41829176303752613,0.5516,0.5422,0.01,15,5,50,tri,10,2
130,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.01,15,5,50,gaussian,10,2
131,0.1431757964597536,0.1506066909574991,0.5159,0.5186,0.01,15,5,50,semicircle,10,2
132,0.268278410542334,0.27122612806324087,0.51925,0.5216000000000001,0.01,15,7,5,tri,10,2
133,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,15,7,5,gaussian,10,2
134,0.5070565795115247,0.49847599308517154,0.48724999999999996,0.4744,0.01,15,7,5,semicircle,10,2
135,0.34369926661848466,0.33220077271606996,0.5279499999999999,0.5206000000000001,0.01,15,7,10,tri,10,2
136,0.5405600718051804,0.5353146683052572,0.655,0.6536000000000001,0.01,15,7,10,gaussian,10,2
137,0.3630451428278859,0.35436297883612783,0.48365,0.476,0.01,15,7,10,semicircle,10,2
138,0.35141007044553946,0.3573701976978535,0.5321,0.5307999999999999,0.01,15,7,25,tri,10,2
139,0.5299986128213707,0.523493853178669,0.6533,0.6519999999999999,0.01,15,7,25,gaussian,10,2
140,0.23254378900261488,0.24188648490682665,0.49660000000000004,0.5042000000000001,0.01,15,7,25,semicircle,10,2
141,0.44119833038162487,0.4353878146715175,0.5492,0.5444000000000001,0.01,15,7,50,tri,10,2
142,0.527619119509436,0.5338815791819547,0.6651999999999999,0.6689999999999999,0.01,15,7,50,gaussian,10,2
143,0.2232884117964251,0.24306068953510315,0.49665,0.5054000000000001,0.01,15,7,50,semicircle,10,2
144,0.18686054381137746,0.18177587165285808,0.5176999999999999,0.515,0.01,25,3,5,tri,10,2
145,0.0,0.0,0.5,0.5,0.01,25,3,5,gaussian,10,2
146,0.3273745931175242,0.32823531682453233,0.4845,0.48999999999999994,0.01,25,3,5,semicircle,10,2
147,0.06269902259761262,0.05863012413351902,0.4965,0.4976,0.01,25,3,10,tri,10,2
148,0.02489851150202977,0.019117647058823527,0.5029,0.5016,0.01,25,3,10,gaussian,10,2
149,0.33810939032617265,0.34856152098022053,0.5000500000000001,0.507,0.01,25,3,10,semicircle,10,2
150,0.32299361467337623,0.3375199910061644,0.5319499999999999,0.5362,0.01,25,3,25,tri,10,2
151,0.03349408154318282,0.027758007117437727,0.50505,0.5032,0.01,25,3,25,gaussian,10,2
152,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,25,3,25,semicircle,10,2
153,0.3235874397765068,0.32440781853458034,0.53495,0.5378000000000001,0.01,25,3,50,tri,10,2
154,0.0,0.0,0.5,0.5,0.01,25,3,50,gaussian,10,2
155,0.3285497488203393,0.31636202865606755,0.47575,0.46240000000000003,0.01,25,3,50,semicircle,10,2
156,0.2595745866081091,0.2554843294216612,0.5235000000000001,0.5244,0.01,25,5,5,tri,10,2
157,0.4780821138851298,0.4828525446747377,0.4756,0.47919999999999996,0.01,25,5,5,gaussian,10,2
158,0.5261764446942816,0.5325009238983085,0.50825,0.515,0.01,25,5,5,semicircle,10,2
159,0.40756182398035545,0.4000090372762459,0.5474500000000001,0.542,0.01,25,5,10,tri,10,2
